seg_idx,t_start_s,t_end_s,t_start_device_ns,t_end_device_ns,transcript,gaze_yaw_mean_rad,gaze_pitch_mean_rad,gaze_depth_mean_m,gaze_yaw_std_rad,head_accel_mag_mean,head_gyro_mag_mean,gps_speed_mps,body_state,lat,lon,left_hand_visible_frac,right_hand_visible_frac,discourse_level,discourse_label,discourse_confidence,seg_dur_s,f0_mean_hz,f0_std_hz,f0_range_hz,voiced_frac,energy_mean,energy_std,pause_frac,ser_arousal,ser_dominance,ser_valence,lang,level,label,confidence,rationale
21,98.3,100.72,557799220854,560223220854,y la combinación entre la caída del agua y la forma de la montaña genera,-0.1193,-0.222,0.821,0.0921,10.091,0.3888,0.974,walking,45.952755,8.9291153,0.0,0.0,1,concrete,0.9,2.42,243.8,45.8,157.2,0.632,0.00385,0.00129,0.0,0.5729,0.5697,0.6306,es,1,concrete,0.9,Explains physical interaction mechanism.
22,105.05,106.87,564549220854,566373220854,la forma básica y el plano,-0.2221,-0.1976,0.616,0.27,9.942,0.6817,0.518,walking,45.9527893,8.9291573,0.0,0.0,1,concrete,0.9,1.82,255.5,34.8,201.5,0.667,0.00445,0.00204,0.0,0.4785,0.4698,0.3958,es,1,concrete,0.9,Describes tangible physical form.
23,109.96,113.7,569459220854,573204220854,del bosque desde el cual toda la vida se levanta y se activa.,0.1756,-0.1994,0.846,0.1777,9.964,0.2558,0.479,scanning,45.952774,8.9291801,0.0,0.0,1,concrete,0.9,3.74,231.4,46.8,226.7,0.761,0.00448,0.00126,0.0,0.5855,0.5924,0.6288,es,1,concrete,0.9,Describes physical foundation for life.
24,113.84,119.33,573344220854,578824220854,"O sea, si tú no miras esa, si tú no reconoces de dónde viene el agua,",0.0374,-0.1093,1.058,0.3581,9.944,0.5157,0.074,scanning,45.952774,8.9291811,0.0,0.0,2,contextual,0.9,5.49,267.5,35.8,170.5,0.727,0.00485,0.00156,0.0,0.598,0.5986,0.5878,es,2,contextual,0.9,Hypothetical framing of significance.
25,120.07,121.92,579570220854,581415220854,"Ni siquiera vas a poder construir una aldea, ni siquiera vas a tener agua ni nada.",0.2419,-0.0276,1.222,0.1967,10.05,0.4267,0.443,scanning,45.952774,8.9291649,0.0,0.0,2,contextual,0.9,1.85,253.7,39.5,140.2,0.983,0.0028,0.00122,0.0,0.5273,0.5162,0.462,es,2,contextual,0.9,Generalization about practical implications.
26,124.4,124.9,583901220854,584402220854,"Entonces, ahí ¿qué vemos?",-0.1941,-0.0018,1.212,0.0359,9.893,0.3432,0.516,walking,45.952774,8.9291639,0.0,0.0,3,aside,0.9,0.5,284.2,2.0,4.9,0.312,0.0024,0.00057,0.0,0.4609,0.4029,0.5984,es,3,aside,0.9,Procedural question to prompt observation.
27,124.92,129.21,584422220854,588710220854,"Vemos un hundimiento, vemos una caída.",-0.1262,-0.0486,1.562,0.0727,9.999,0.2128,0.516,walking,45.9527779,8.9291744,0.0,0.0,1,concrete,0.9,4.29,274.6,36.9,184.3,0.637,0.00342,0.00105,0.0,0.5697,0.5547,0.4986,es,1,concrete,0.9,Describes observable physical features.
28,129.21,136.07,588710220854,595573220854,"Y eso ha sido reconocido, entendido y codificado a través de una fuente.",0.1573,-0.3286,0.712,0.1037,9.961,0.1043,0.074,dwelling,45.952774,8.929183,0.0,0.0,2,contextual,0.9,6.86,227.9,28.7,156.3,0.54,0.004,0.00041,0.0,0.5047,0.5066,0.5121,es,2,contextual,0.9,Historical/cultural context of human understanding.
29,136.23,139.02,595733220854,598518220854,y en época antigua siempre hay seres y personajes que están asociados a eso.,0.0202,-0.1966,0.617,0.0868,9.98,0.2016,0.073,dwelling,45.952774,8.9291801,0.0,0.0,2,contextual,0.9,2.79,255.1,33.1,182.8,0.602,0.00387,0.00064,0.0,0.5504,0.56,0.4411,es,2,contextual,0.9,Historical/cultural association with phenomena.
30,139.32,143.93,598818220854,603426220854,Ven acá que la fuente,-0.1735,-0.2148,0.664,0.0377,9.985,0.2428,0.424,dwelling,45.9527817,8.9291849,0.0,0.0,3,aside,0.9,4.61,264.0,71.9,215.9,0.317,0.00278,0.00085,0.0,0.6635,0.6512,0.8226,es,3,aside,0.9,Invites to look at the object
31,144.07,147.24,603566220854,606737220854,"Tiene dos personajes, ¿cierto?",-0.1832,-0.2453,0.562,0.1991,9.988,0.6099,0.442,scanning,45.9527817,8.9292021,0.0,0.0,1,concrete,0.95,3.17,295.9,46.7,164.2,0.63,0.00301,0.00115,0.0,0.637,0.6133,0.7053,es,1,concrete,0.95,Describes a feature of the fountain
32,147.28,149.97,606777220854,609466220854,Que va que de ellos viene y sale el agua.,-0.1515,-0.1707,0.535,0.2141,9.877,0.6464,0.739,walking,45.9527817,8.9292269,0.0,0.0,1,concrete,0.95,2.69,237.8,15.1,59.0,0.718,0.00481,0.00151,0.0,0.726,0.7294,0.3213,es,1,concrete,0.95,Describes how the fountain works
33,151.7,152.3,611201220854,611803220854,"O sea, el bosque es algo vivo.",-0.3589,-0.0592,0.991,0.1453,10.114,1.3272,0.812,walking,45.9527702,8.9292479,0.0,0.0,2,contextual,0.9,0.6,,,,0.0,0.00619,0.00134,0.0,0.6208,0.5458,0.4837,es,2,contextual,0.9,"General statement, framing a concept"
34,152.32,152.62,611823220854,612123220854,No solamente...,-0.1613,-0.1538,0.6,0.0185,9.35,0.3966,0.517,walking,45.9527664,8.9292469,0.0,0.0,3,aside,0.85,0.3,256.8,18.0,47.0,1.0,0.00637,0.00182,0.0,,,,es,3,aside,0.85,"Incomplete thought, self-correction"
35,156.32,159.46,615824220854,618958220854,por la combinación entre agua y elementos minerales.,0.0444,-0.0357,0.802,0.1007,9.99,0.3572,0.669,walking,45.9527435,8.9292297,0.0,0.0,2,contextual,0.9,3.14,233.9,21.2,91.0,0.949,0.00425,0.00108,0.0,0.6141,0.5905,0.5395,es,2,contextual,0.9,Explains a general principle for life
36,160.87,167.9,620364220854,627394220854,"que producen toda la vida y todo el bosque, sino en las primeras representaciones de la vida.",0.0819,-0.2729,0.639,0.1557,9.947,0.3149,0.425,scanning,45.9527435,8.9291992,0.014,0.0,2,contextual,0.85,7.03,232.6,40.6,233.6,0.859,0.00359,0.00133,0.0,0.546,0.5561,0.5067,es,2,contextual,0.85,Explains broader significance and representations
37,168.06,171.24,627554220854,630741220854,Ese es un punto súper importante.,0.0017,-0.2603,0.557,0.2154,9.96,0.5814,0.424,scanning,45.9527435,8.9292154,0.0,0.0,3,aside,0.9,3.18,235.7,29.8,115.9,1.0,0.00336,0.00075,0.0,0.6394,0.5881,0.5313,es,3,aside,0.9,Meta-comment about importance of point
38,171.26,173.93,630761220854,633426220854,Y esas representaciones se mantienen a lo largo de los siglos.,0.0828,-0.1409,0.638,0.2469,9.955,0.5478,0.424,scanning,45.9527512,8.9292126,0.0,0.0,2,contextual,0.9,2.67,220.6,28.1,86.8,0.81,0.00302,0.00068,0.0,0.6049,0.6398,0.512,es,2,contextual,0.9,Provides historical context of representations
39,174.19,179.97,633687220854,639466220854,"Esta fuente no es tan antigua, pero mantiene una forma ancestral",0.1241,-0.0853,0.698,0.0861,9.947,0.0568,0.0,dwelling,45.952755,8.9292097,0.0,0.0,2,contextual,0.85,5.78,240.8,45.8,215.6,0.68,0.00347,0.00089,0.0,0.5684,0.5734,0.3963,es,2,contextual,0.85,Connects object to ancestral/historical context
40,180.03,180.51,639530220854,640011220854,cómo nació todo eso.,-0.1645,-0.307,0.616,0.1233,9.92,0.0582,0.0,dwelling,45.952755,8.9292097,0.0,0.0,2,contextual,0.8,0.48,226.5,23.2,66.5,1.0,0.00449,0.00179,0.0,0.6757,0.6084,0.5501,es,2,contextual,0.8,Frames discussion about origins/history
41,180.53,182.33,640031220854,641832220854,"Entonces, quien pasaba por aquí veía eso y después miraba atrás y decía, ah, claro.",0.145,-0.3104,0.526,0.035,9.953,0.0915,0.0,dwelling,45.952755,8.9292097,0.0,0.0,2,contextual,0.85,1.8,222.2,24.6,88.5,0.386,0.00272,0.00048,0.0,0.5764,0.5864,0.5464,es,2,contextual,0.85,Illustrates historical perception/connection
42,187.85,189.21,647349220854,648712220854,O sea que quien sigue esta línea de la montaña,0.029,-0.6633,0.503,0.1006,9.883,0.8809,0.0,scanning,45.952755,8.9292097,0.0,0.0,2,contextual,0.85,1.36,174.5,9.2,36.2,0.395,0.00179,0.00063,0.0,0.619,0.596,0.7407,es,2,contextual,0.85,Continues hypothetical scenario/principle
43,192.34,197.66,651838220854,657155220854,arriba en el medio camino o abajo va a poder construir una aldea.,0.1621,-0.3483,0.604,0.2177,9.888,0.5856,0.0,scanning,45.952755,8.9292088,0.0,0.038,2,contextual,0.85,5.32,233.0,36.0,195.2,0.832,0.005,0.00162,0.0,0.5719,0.5786,0.5926,es,2,contextual,0.85,Explains outcome based on landscape
44,198.6,202.53,658104220854,662033220854,no vas a poder vivir si no estás cerca del agua.,0.1656,-0.2739,0.613,0.263,9.947,0.5738,0.0,scanning,45.952755,8.9292078,0.0,0.0,2,contextual,0.9,3.93,224.1,29.5,116.6,0.919,0.00435,0.00119,0.0,0.6615,0.6201,0.7385,es,2,contextual,0.9,General principle about human survival
45,202.57,206.18,662073220854,665681220854,"Entonces, el primer mapeo cuando tú caminas en un bosque es dónde está el agua, ¿no?",0.0979,-0.3588,0.599,0.3229,9.926,0.3893,0.0,scanning,45.952755,8.9292078,0.0,0.0,2,contextual,0.9,3.61,217.6,26.4,100.3,0.903,0.00421,0.00135,0.0,0.4849,0.5019,0.4678,es,2,contextual,0.9,General observation principle for forest understanding.
46,206.5,209.14,666003220854,668640220854,"O sea, lo llamamos hidrografía,",-0.003,-0.2161,0.62,0.4142,9.946,0.4308,0.0,scanning,45.952755,8.9292078,0.0,0.0,1,concrete,0.9,2.64,232.7,21.6,108.2,0.783,0.00423,0.00219,0.0,0.4913,0.484,0.4789,es,1,concrete,0.9,Names the subject: study of water.
47,210.03,215.74,669530220854,675235220854,"le damos todos los nombres del mundo, pero realmente es el camino del agua que determina",0.0887,-0.4841,0.538,0.2618,9.849,0.5833,0.0,scanning,45.952755,8.9292078,0.0,0.0,1,concrete,0.9,5.71,235.8,32.6,165.5,0.81,0.00383,0.00183,0.073,0.587,0.5525,0.6433,es,1,concrete,0.9,Explains water's fundamental role in shaping.
48,215.84,219.43,675335220854,678927220854,la forma del bosque y el camino de la vida de los humanos también.,-0.2106,-0.2849,0.648,0.116,9.881,0.3699,0.0,scanning,45.952755,8.9292078,0.0,0.194,1,concrete,0.9,3.59,231.6,32.2,165.9,0.92,0.00304,0.00088,0.009,0.5292,0.528,0.618,es,1,concrete,0.9,Describes water's physical impact on landscape/life.
49,223.28,228.48,682777220854,687977220854,"Y además no es tampoco la tierra, porque esta tierra que vemos...",-0.0712,-0.438,0.556,0.2195,9.918,0.7128,0.434,scanning,45.9527817,8.9291945,0.0,0.0,2,contextual,0.9,5.2,272.6,44.8,177.8,0.699,0.00362,0.00151,0.0,0.6564,0.5673,0.5965,es,2,contextual,0.9,Frames a new contrasting point about soil.
50,229.38,232.41,688879220854,691904220854,Eso que se llama humus realmente es gente muerta.,-0.1858,-0.3868,0.485,0.1453,9.772,0.4073,0.479,scanning,45.952774,8.9292116,0.0,0.129,1,concrete,0.9,3.03,288.8,39.6,127.2,0.684,0.00462,0.00203,0.0,0.6986,0.6696,0.6306,es,1,concrete,0.9,Defines humus as concrete dead matter.
51,232.49,234.29,691984220854,693787220854,"O sea, esos son árboles que han muerto.",-0.144,-0.1043,0.787,0.0767,9.882,0.4016,0.147,scanning,45.952774,8.9292088,0.0,0.0,1,concrete,0.9,1.8,273.9,29.3,85.9,0.842,0.00685,0.00194,0.0,0.6195,0.6248,0.4635,es,1,concrete,0.9,Identifies components: dead trees specifically.
52,234.99,239.97,694488220854,699466220854,"Estamos caminando encima de los árboles muertos, de lo que queda del cementerio de los árboles.",0.0366,-0.3262,0.544,0.1945,9.85,0.3062,0.0,scanning,45.952774,8.929203,0.0,0.0,1,concrete,0.9,4.98,248.8,53.6,230.9,0.859,0.00582,0.00259,0.0,0.6787,0.6245,0.6611,es,1,concrete,0.9,Describes the physical surroundings (dead trees).
53,240.05,241.78,699550220854,701275220854,entonces la ley que hace funcionar todo eso no solamente es el sol,0.0767,-0.11,0.728,0.1902,9.882,0.4777,0.0,scanning,45.952774,8.929203,0.0,0.0,2,contextual,0.9,1.73,244.4,21.9,63.8,0.364,0.00435,0.00179,0.0,0.5226,0.5158,0.3052,es,2,contextual,0.9,General statement about ecosystem's driving laws.
54,246.76,249.36,706263220854,708855220854,"y la temperatura, que en este caso es estacional, en la presencia de agua.",-0.2348,-0.2042,0.643,0.1547,9.931,0.4231,0.0,scanning,45.9527702,8.9292021,0.0,0.192,2,contextual,0.9,2.6,185.2,14.3,60.5,0.988,0.00368,0.00118,0.0,0.5189,0.5293,0.4851,es,2,contextual,0.9,Lists general drivers and provides context.
55,252.03,258.0,711528220854,717501220854,"Sin ese camino, nunca habría un bosque de esta magnitud y de esta diversidad.",0.1013,-0.2527,0.769,0.2069,9.896,0.2496,0.0,dwelling,45.9527702,8.9292021,0.0,0.0,2,contextual,0.9,5.97,239.2,49.4,210.3,0.824,0.00391,0.00122,0.0,0.5019,0.5237,0.511,es,2,contextual,0.9,General principle of water's critical importance.
56,259.74,261.21,719240220854,720713220854,y además el agua,0.2649,-0.1721,0.962,0.0934,10.01,0.1098,0.0,dwelling,45.9527702,8.9292011,0.0,0.0,1,concrete,0.9,1.47,235.6,23.5,92.0,1.0,0.00486,0.00214,0.0,0.5312,0.5264,0.5934,es,1,concrete,0.9,Introduces agent for water's physical action.
57,262.24,269.97,721737220854,729466220853,"puede literalmente diseñar caminos en la roca, si lo quiere.",-0.0556,-0.3184,0.639,0.317,9.93,0.6953,0.0,scanning,45.9527702,8.9292011,0.0,0.0,1,concrete,0.9,7.73,203.4,21.5,153.8,0.504,0.00307,0.00146,0.004,0.442,0.4584,0.5798,es,1,concrete,0.9,Describes water's concrete action shaping rock.
58,270.03,271.47,729530220854,730972220854,"Fuente ha sido modificada, maltratada, alterada cinco mil veces.",0.0942,0.013,0.997,0.2461,9.929,0.594,0.0,scanning,45.9527702,8.9292021,0.0,0.0,2,contextual,0.9,1.44,211.7,19.2,73.4,0.804,0.00403,0.00102,0.0,0.6535,0.6303,0.5598,es,2,contextual,0.9,Historical context of specific feature (Fuente).
59,274.74,281.69,734238220853,741192220854,"pero ha mantenido un diseño, un camino, que fue el camino originario de esta agua.",-0.0748,-0.1644,0.71,0.2257,9.98,0.7043,0.0,scanning,45.9527702,8.9292021,0.0,0.0,2,contextual,0.9,6.95,233.7,32.5,157.5,0.734,0.00327,0.00161,0.0,0.6248,0.5872,0.6038,es,2,contextual,0.9,Explains feature's enduring original path despite changes.
60,281.79,283.2,741292220854,742696220854,que baja como por un microcañón.,0.0858,-0.2299,0.526,0.0533,9.985,0.2332,0.442,dwelling,45.9527702,8.9291935,0.0,0.0,1,concrete,0.95,1.41,216.6,16.1,45.0,0.911,0.00313,0.00077,0.0,0.7261,0.662,0.6941,es,1,concrete,0.95,Describes a physical feature/pathway.
61,287.83,293.02,747329220854,752517220854,"Ah, pero si quieres hablar en italiano también puedes hablar en italiano.",-0.0333,-0.2082,0.553,0.126,9.981,0.6965,0.479,scanning,45.9527664,8.9291754,0.0,0.0,3,aside,0.95,5.19,143.3,32.5,197.7,0.712,0.03067,0.02283,0.313,0.5045,0.518,0.5752,es,3,aside,0.95,Metalinguistic comment about language choice.
62,293.08,293.52,752577220854,753018220854,Puedes cambiar.,0.0609,-0.1474,0.454,0.1556,9.841,0.573,0.447,scanning,45.952774,8.929162,0.0,0.0,3,aside,0.95,0.44,133.3,15.4,65.4,1.0,0.04133,0.01542,0.0,0.405,0.4307,0.5964,es,3,aside,0.95,Procedural comment about language.
63,295.53,297.5,755028220854,756996220854,"sí, natural",-0.1694,-0.218,0.7,0.272,10.032,0.7837,0.448,scanning,45.9527779,8.9291573,0.0,0.35,3,aside,0.9,1.97,189.3,47.6,168.6,1.0,0.01266,0.01601,0.516,0.436,0.4231,0.4633,es,3,aside,0.9,"Filler or agreement, off-topic."
64,300.05,302.19,759550220854,761694220854,"Il bosco nasce come una rete biotica, è una rete della vita che si forma sulla rete dell'acqua.",-0.1019,-0.2503,0.565,0.2443,9.88,0.563,0.729,walking,45.9527855,8.9291306,0.0,0.0,2,contextual,0.95,2.14,259.0,27.4,154.1,0.791,0.00339,0.00077,0.0,0.635,0.5975,0.6758,it,2,contextual,0.95,Generalization about forest formation based on water.
65,308.75,310.74,768254220854,770239220854,e la diversità di forme di vita dipende dalla qualità dell'acqua e dalla qualità,-0.0714,-0.4035,0.42,0.066,9.991,0.4497,0.918,walking,45.9528198,8.9290628,0.0,0.0,2,contextual,0.95,1.99,247.2,28.7,107.5,0.952,0.00375,0.00076,0.0,0.6263,0.5686,0.7242,it,2,contextual,0.95,Generalization about biodiversity's dependence on quality.
66,316.75,323.56,776253220854,783062220854,qualità della temperatura e qui abbiamo una bellissima composizione litica di rocce i cui minerali,-0.0314,-0.2195,0.668,0.198,9.91,0.6261,0.481,scanning,45.9528618,8.929038,0.029,0.0,1,concrete,0.9,6.81,214.8,35.6,161.9,0.469,0.00297,0.00063,0.0,0.6463,0.628,0.7048,it,1,concrete,0.9,Describes specific rock composition and properties.
67,324.7,326.77,784204220854,786273220854,sostengono molto bene la vita.,-0.2032,-0.2577,0.568,0.1445,10.044,0.7029,0.668,walking,45.9528847,8.9290104,0.0,0.0,1,concrete,0.95,2.07,65.7,1.1,3.5,0.169,0.00579,0.00292,0.0,0.4583,0.4642,0.5297,it,1,concrete,0.95,Explains how specific rocks support life.
68,326.79,327.5,786293220854,786996220854,Queste che vediamo,-0.0391,-0.2512,0.51,0.1003,9.787,0.5089,0.59,walking,45.9528809,8.9290037,0.0,0.0,3,aside,0.85,0.71,347.0,27.6,78.9,0.435,0.00237,0.00051,0.0,0.3674,0.3565,0.3271,it,3,aside,0.85,Directs attention; leads into concrete description.
69,330.03,332.18,789530220854,791676220854,"che voi vedete queste radici che sono tutte così assorcigliate, abbracciate alle pietre, vedete?",0.006,-0.2679,0.504,0.1305,9.812,0.4576,1.122,walking,45.9528961,8.9289703,0.0,0.0,1,concrete,0.95,2.15,207.3,30.6,112.1,0.662,0.00373,0.00063,0.0,0.4467,0.4528,0.4527,it,1,concrete,0.95,Describes specific roots and their interaction.
70,337.05,337.51,796550220854,797010220854,Questi qui sono i fagi.,-0.2036,-0.2178,0.571,0.0726,10.01,0.6281,0.724,walking,45.9529305,8.9289036,0.0,0.0,1,concrete,0.95,0.46,256.9,13.5,45.6,0.867,0.00364,0.00051,0.0,0.6672,0.5742,0.4938,it,1,concrete,0.95,Names a specific type of tree (beech).
71,337.53,339.21,797030220854,798712220854,Le faggete sono le piante più antiche e ancestrali dell'Europa.,-0.0959,-0.2593,0.557,0.1424,9.935,0.405,0.372,scanning,45.9529305,8.9288988,0.0,0.0,2,contextual,0.95,1.68,190.5,36.1,84.6,0.283,0.00289,0.00088,0.0,0.609,0.6161,0.7899,it,2,contextual,0.95,General historical/evolutionary context of beeches.
72,343.84,344.92,803337220854,804420220854,I boschi di Talgete sono gli ultimi boschi primari.,0.2342,-0.2372,0.631,0.1164,9.7,0.7726,0.787,walking,45.952919,8.9288683,0.0,0.0,2,contextual,0.95,1.08,223.3,20.5,76.4,0.794,0.003,0.00051,0.0,0.7422,0.6828,0.3009,it,2,contextual,0.95,General historical context of beech forests.
73,345.0,347.09,804501220854,806587220854,Questo è molto mescolato.,0.1874,-0.2516,0.606,0.2274,9.981,0.6719,0.787,walking,45.952919,8.9288635,0.0,0.0,1,concrete,0.95,2.09,246.5,51.0,170.3,0.848,0.00307,0.00149,0.0,0.7401,0.7163,0.805,it,1,concrete,0.95,Describes composition of this specific forest.
