seg_idx,t_start_s,t_end_s,t_start_device_ns,t_end_device_ns,transcript,gaze_yaw_mean_rad,gaze_pitch_mean_rad,gaze_depth_mean_m,gaze_yaw_std_rad,head_accel_mag_mean,head_gyro_mag_mean,gps_speed_mps,body_state,lat,lon,left_hand_visible_frac,right_hand_visible_frac,discourse_level,discourse_label,discourse_confidence,seg_dur_s,f0_mean_hz,f0_std_hz,f0_range_hz,voiced_frac,energy_mean,energy_std,pause_frac,ser_arousal,ser_dominance,ser_valence,lang,level,label,confidence,rationale
10,51.87,54.38,3470341257012,3472847257012,Lo acumulan más lentamente.,-0.0456,-0.2455,0.588,0.0775,9.935,0.2683,0.148,scanning,45.9515839,8.9248209,0.0,0.0,1,concrete,0.9,2.51,254.2,18.6,53.3,0.177,0.00152,0.0005,0.0,0.4579,0.4606,0.5516,es,1,concrete,0.9,Describes how heat is accumulated.
11,54.4,57.6,3472867257012,3476075257012,"Entonces, durante el verano es más fresco.",-0.1232,-0.2138,0.73,0.0588,9.947,0.2878,0.148,scanning,45.9515839,8.924818,0.438,0.0,1,concrete,0.9,3.2,253.3,48.0,193.6,0.752,0.00232,0.00125,0.01,0.4725,0.494,0.6417,es,1,concrete,0.9,Concrete effect of the material's properties.
12,57.6,58.49,3476075257012,3476963257012,Y durante el invierno...,-0.0007,-0.2852,0.487,0.0381,9.896,0.1902,0.222,dwelling,45.9515839,8.9248133,0.0,0.0,1,concrete,0.9,0.89,228.3,23.5,71.6,1.0,0.00139,0.00069,0.0,0.4686,0.4914,0.3061,es,1,concrete,0.9,Sets up a contrasting concrete effect.
13,61.86,62.44,3480331257012,3480912257012,Es más caliente.,-0.3933,-0.2089,0.442,0.088,9.918,0.3039,0.368,scanning,45.9515915,8.9247999,0.0,0.0,1,concrete,0.9,0.58,174.1,11.0,41.1,0.895,0.00057,0.00015,0.0,0.4351,0.4495,0.4822,es,1,concrete,0.9,Concrete effect of the material's properties.
14,62.46,63.73,3480932257012,3482195257012,Ignacia térmica.,-0.2805,-0.2368,0.568,0.077,9.927,0.1138,0.074,dwelling,45.9515915,8.924799,0.0,0.0,1,concrete,0.9,1.27,113.4,1.8,5.3,0.175,0.00185,0.0032,0.8,-0.0502,0.0728,0.1716,es,1,concrete,0.9,Names the technical concept.
15,63.74,64.05,3482215257012,3482516257012,"Sí, sí.",-0.2015,-0.244,0.435,0.0904,9.963,0.2513,0.074,scanning,45.9515915,8.924798,0.0,0.0,3,aside,0.9,0.31,112.0,9.6,34.8,1.0,0.00317,0.00091,0.0,,,,es,3,aside,0.9,Filler/acknowledgement.
16,64.07,66.95,3482536257012,3485423257012,"Digamos, acá nunca existió el adobe, pero existió el cuarzo.",0.1495,-0.3305,0.437,0.1812,9.948,0.4024,0.074,scanning,45.9515915,8.924798,0.0,0.0,1,concrete,0.95,2.88,237.0,94.2,276.1,0.813,0.00199,0.00147,0.165,0.58,0.5595,0.4269,es,1,concrete,0.95,Discusses specific material (quartz) of the space.
17,70.85,76.79,3489318257012,3495262257012,Y esto le da un elemento más.,-0.1212,-0.4003,0.685,0.1339,9.845,0.373,0.0,scanning,45.9515915,8.9247971,0.0,0.217,1,concrete,0.9,5.94,243.6,45.4,205.8,0.608,0.00165,0.00056,0.0,0.4958,0.5314,0.521,es,1,concrete,0.9,Refers to physical element of the space.
18,78.85,78.91,3497317257012,3497379257012,Ya.,0.0061,-0.3822,0.509,0.0,9.786,0.0996,0.074,dwelling,45.9515915,8.9247904,1.0,0.0,3,aside,0.9,0.06,,,,,,,,,,,es,3,aside,0.9,Filler/interjection.
19,80.25,85.36,3498717257012,3503828257012,Naturalmente lo que estamos viendo ahora es un uso contemporáneo de la…,-0.0311,-0.3527,0.882,0.2163,9.971,1.5529,0.449,scanning,45.9515686,8.9247856,0.0,0.077,1,concrete,0.9,5.11,236.5,43.3,161.8,0.656,0.00118,0.00046,0.0,0.4353,0.4678,0.5282,es,1,concrete,0.9,Describes current use of the physical space.
20,87.72,87.93,3506195257012,3506397257012,Gracias.,0.141,-0.1765,0.768,0.1425,10.002,0.2111,0.222,dwelling,45.951561,8.9247875,0.0,0.0,3,aside,0.9,0.21,,,,0.0,0.00069,7e-05,0.0,,,,es,3,aside,0.9,"Polite interjection, procedural."
21,90.03,91.11,3508501257012,3509582257012,"Pero vamos a ver en estos, por ejemplo...",0.1772,-0.1927,0.652,0.0419,9.942,0.1846,0.431,dwelling,45.951561,8.9247904,0.0,0.0,3,aside,0.85,1.08,183.5,5.6,20.1,1.0,0.00141,0.00026,0.0,0.4477,0.4885,0.356,es,3,aside,0.85,Procedural guidance for the walk.
22,95.74,99.43,3514211257012,3517900257012,"Seguramente lo que ellos han utilizado acá, mira cómo se ve.",0.0005,-0.2403,2.122,0.1641,10.017,0.42,0.564,walking,45.9515381,8.9248161,0.0,0.0,1,concrete,0.9,3.69,218.5,32.2,160.5,0.922,0.00091,0.0003,0.0,0.6288,0.6186,0.3748,es,1,concrete,0.9,Points out observable feature of the space.
23,100.95,101.49,3519419257012,3519961257012,Todo eso es cuarzo.,-0.3357,-0.1848,0.267,0.0095,9.946,0.7087,0.519,walking,45.9515457,8.9248409,0.0,0.0,1,concrete,0.95,0.54,230.8,22.3,61.4,1.0,0.00243,0.00077,0.0,0.5258,0.544,0.4013,es,1,concrete,0.95,Identifies specific material (quartz) observed.
24,101.51,102.63,3519981257012,3521104257012,"Ahora tú dices, eso no me sirve.",-0.2479,-0.1482,0.243,0.0385,9.995,0.4271,0.519,walking,45.9515533,8.9248486,0.818,0.0,3,aside,0.8,1.12,,,,0.0,0.00114,0.00047,0.0,0.4655,0.5197,0.5686,es,3,aside,0.8,Sets up rhetorical question/hypothetical thought.
25,102.65,106.3,3521124257012,3524774257012,"O sea, una columna...",-0.1492,-0.3813,0.215,0.1834,9.993,0.4322,0.43,scanning,45.951561,8.9248524,0.135,0.459,3,aside,0.8,3.65,205.0,39.1,179.2,0.922,0.00242,0.00185,0.139,0.4892,0.5006,0.5679,es,3,aside,0.8,Continues rhetorical/hypothetical point.
26,106.91,109.86,3525376257012,3528325257012,"Desde el punto de vista de la acumulación y de la difusión del calor, no me interesa, pero...",-0.1236,-0.4073,0.316,0.1135,9.952,0.2047,0.074,dwelling,45.9515648,8.9248476,0.0,1.0,1,concrete,0.9,2.95,205.8,33.2,130.4,0.763,0.00164,0.00086,0.022,0.4698,0.5,0.5383,es,1,concrete,0.9,Explains material property (heat diffusion/accumulation).
27,114.35,119.97,3532818257012,3538437257012,"Pero cuando sabemos que la gran mayoría del edificio ha sido construido así, eso ya.",-0.1628,-0.2142,0.632,0.2801,10.028,0.3418,0.075,scanning,45.951561,8.9248438,0.0,0.0,2,contextual,0.9,5.62,227.7,26.8,99.8,0.619,0.00113,0.00029,0.0,0.6316,0.629,0.6183,es,2,contextual,0.9,Generalizes about building's overall construction method.
28,120.03,120.99,3538501257012,3539464257012,ya nos ayudan a entender la contención,0.1512,-0.3162,1.341,0.1739,9.975,0.4487,0.428,scanning,45.9515648,8.9248495,0.1,0.0,2,contextual,0.9,0.96,,,,0.0,0.00118,0.00043,0.0,0.3819,0.398,0.3143,es,2,contextual,0.9,Explains implication of building's construction method.
29,143.03,148.74,3561502257012,3567214257012,Y tienen un conocimiento interiorizado muy poderoso de la composición.,-0.2829,-0.2731,0.467,0.1786,9.987,0.4485,0.475,scanning,45.9515686,8.9248867,0.0,0.105,2,contextual,0.9,5.71,256.3,44.4,176.5,0.553,0.0018,0.00034,0.0,0.4017,0.4183,0.5014,es,2,contextual,0.9,General statement about builders' knowledge/expertise.
30,150.03,156.41,3568501257012,3574880257012,de la montaña por eso saben utilizar exactamente los elementos críticos que les sirven,-0.3973,-0.3107,0.601,0.0576,9.951,0.1229,0.43,dwelling,45.9515762,8.9248705,0.0,0.0,1,concrete,0.9,6.38,237.7,35.7,175.5,0.32,0.00103,0.00032,0.0,0.4017,0.4518,0.5757,es,1,concrete,0.9,Describes functional aspect related to mountain elements.
31,159.97,162.0,3578440257012,3580469257012,"ver el uso de esta roca, vamos a descubrir que...",-0.0642,-0.2735,0.427,0.2199,9.965,0.437,0.0,scanning,45.9515915,8.9248714,0.0,0.0,1,concrete,1.0,2.03,220.2,14.4,48.6,0.266,0.00107,0.00025,0.0,0.3851,0.4208,0.4491,es,1,concrete,1.0,Refers to specific object 'this rock'.
32,169.1,171.49,3587573257012,3589962257012,En ese punto se ven dos partes del lado.,-0.2339,-0.2625,0.604,0.1897,9.993,0.6891,0.451,scanning,45.9515877,8.9248762,0.0,0.0,1,concrete,1.0,2.39,,,,0.0,0.00109,0.00012,0.0,0.3014,0.343,0.4429,es,1,concrete,1.0,Describes observable features in specific location.
33,171.57,171.87,3590043257012,3590344257012,Vemos acá.,0.3278,-0.2804,0.634,0.0939,9.941,0.6564,0.516,walking,45.9515839,8.9248743,0.0,0.0,1,concrete,1.0,0.3,,,,0.0,0.00117,9e-05,0.0,,,,es,1,concrete,1.0,Directs attention to specific observation.
34,177.81,179.91,3596285257012,3598377257012,Una parte del lago de Lugano.,-0.3546,-0.3224,0.532,0.1213,9.938,0.6587,0.296,scanning,45.9515686,8.9248562,0.0,0.714,1,concrete,1.0,2.1,,,,0.0,0.00125,0.0002,0.0,0.1765,0.224,0.3277,es,1,concrete,1.0,Names specific geographic feature.
35,184.44,185.24,3602905257012,3603707257012,¿Cómo puedo definirlo?,-0.4154,-0.2519,0.479,0.0901,9.914,0.1303,0.442,dwelling,45.9515724,8.9248667,0.0,0.0,3,aside,1.0,0.8,93.8,6.4,17.2,0.462,0.00083,0.00014,0.0,0.3545,0.4114,0.4472,es,3,aside,1.0,"Self-correction, speaker's process of finding words."
36,185.26,186.94,3603727257012,3605412257012,¿Dónde se encuentra el mallazo?,0.1465,-0.2,0.729,0.3025,9.928,0.5188,0.442,scanning,45.9515762,8.9248619,0.0,0.0,1,concrete,1.0,1.68,65.0,0.0,0.0,0.094,0.00054,0.0001,0.0,0.2491,0.2818,0.2455,es,1,concrete,1.0,Question about specific object's location.
37,191.74,192.94,3610205257012,3611406257012,¿Dónde se encuentra la bala?,0.289,-0.2096,0.693,0.3215,9.959,0.5014,0.0,scanning,45.9515762,8.9248514,0.0,0.0,1,concrete,1.0,1.2,,,,0.0,0.00115,0.00013,0.0,0.1494,0.2208,0.5226,es,1,concrete,1.0,Question about specific object's location.
38,199.0,199.54,3617468257012,3618009257012,Y en el otro lado...,-0.5239,-0.2714,0.439,0.0424,9.903,0.0891,0.0,dwelling,45.9515762,8.9248514,0.0,1.0,1,concrete,1.0,0.54,,,,0.0,0.00111,0.00014,0.0,0.3238,0.3568,0.3752,es,1,concrete,1.0,Sets up description of physical location.
39,207.83,209.93,3626300257012,3628397257012,se encuentra el Monte San Giorgio.,-0.3426,-0.2645,0.511,0.0758,9.913,0.5319,0.0,scanning,45.9515762,8.9248533,0.0,0.0,1,concrete,1.0,2.1,183.0,18.8,66.1,0.515,0.00154,0.0003,0.0,0.4281,0.4908,0.4886,es,1,concrete,1.0,Names specific geographic feature.
40,210.03,210.73,3628501257012,3629202257012,Es una montaña con una iglesia.,-0.3499,-0.2039,0.4,0.0232,10.097,0.4467,0.0,scanning,45.9515762,8.9248533,0.0,0.0,1,concrete,1.0,0.7,241.8,17.5,50.8,0.955,0.00139,0.00026,0.0,0.4944,0.5149,0.3323,es,1,concrete,1.0,Describes specific geographic feature.
41,217.02,219.79,3635487257012,3638257257012,Porque nosotros estamos en la punta entre dos vertientes.,-0.3669,-0.2219,0.479,0.0433,9.922,0.0441,0.297,dwelling,45.9515877,8.9248695,0.0,0.464,1,concrete,1.0,2.77,65.1,0.2,0.8,0.138,0.00111,0.00023,0.0,0.3439,0.3997,0.5057,es,1,concrete,1.0,Explains current location relative to features.
42,222.22,226.23,3640685257012,3644696257012,"La de un lado, donde vemos el lago, y la del otro.",-0.3578,-0.193,0.573,0.0717,9.928,0.1464,0.843,walking,45.9516144,8.9248762,0.0,0.0,1,concrete,1.0,4.01,181.5,15.0,69.4,0.643,0.00138,0.00026,0.0,0.2557,0.3114,0.3649,es,1,concrete,1.0,Elaboration on physical features/location.
43,231.21,232.73,3649679257012,3651201257012,"Sí, pero caminando acá lo vamos a ver.",-0.3026,-0.0412,1.423,0.0547,9.931,0.3986,0.147,scanning,45.9516258,8.9248753,0.0,0.0,3,aside,1.0,1.52,,,,0.0,0.00248,0.00084,0.0,0.2956,0.3345,0.4956,es,3,aside,1.0,"Procedural talk, future action during the walk."
44,232.75,234.21,3651221257012,3652684257012,"Sí, se subió un poco.",-0.3597,-0.1819,1.13,0.0998,10.149,0.5634,0.147,scanning,45.9516258,8.9248734,0.0,0.0,1,concrete,0.9,1.46,89.9,20.6,56.3,0.935,0.00231,0.00087,0.0,-0.0389,0.1199,0.3296,es,1,concrete,0.9,Describes observable physical characteristic of terrain.
45,247.03,247.22,3665504257012,3665685257012,Muy bien.,0.5748,-0.3052,0.856,0.0981,10.974,2.5132,0.477,scanning,45.9516258,8.9248419,0.0,0.0,3,aside,1.0,0.19,119.9,1.6,4.1,0.833,0.01094,0.00424,0.0,,,,es,3,aside,1.0,Filler/acknowledgement.
46,247.29,249.77,3665765257012,3668236257012,Eres un pozo inagotable de conocimiento.,0.2431,-0.3013,0.684,0.2315,9.904,1.0506,0.853,walking,45.951622,8.9248438,0.0,0.28,3,aside,1.0,2.48,122.4,9.6,43.2,0.782,0.00783,0.00551,0.256,0.3031,0.3733,0.4232,es,3,aside,1.0,"Compliment, off-topic chatter."
47,254.26,255.54,3672727257012,3674010257012,Le dije lo de San Giorgio que es importante.,-0.419,-0.2141,1.063,0.0247,10.219,0.45,0.369,scanning,45.9515915,8.9249115,0.25,0.0,2,contextual,0.9,1.28,283.4,47.9,146.5,0.951,0.0023,0.00071,0.0,0.7627,0.6724,0.6322,es,2,contextual,0.9,Refers to previous context/framing.
48,255.56,257.79,3674030257012,3676255257012,"Acuérdense la posición, acuérdense que estamos...",-0.3714,-0.2982,0.676,0.2018,10.156,0.5666,0.222,scanning,45.9515915,8.9249144,0.273,0.0,3,aside,1.0,2.23,253.0,27.5,98.7,0.6,0.0025,0.00063,0.0,0.5396,0.5449,0.6401,es,3,aside,1.0,Procedural instruction/reminder.
49,264.42,268.49,3682885257012,3686964257012,al mediodía va a haber una luz ahí que entra de esa ventana,-0.1495,-0.0471,0.769,0.1637,10.139,0.5057,0.0,scanning,45.9515953,8.9249163,0.0,0.0,1,concrete,1.0,4.07,257.2,30.5,140.7,0.781,0.00094,0.00031,0.0,0.5351,0.5317,0.4538,es,1,concrete,1.0,Describes concrete physical observation.
50,271.92,272.25,3690391257012,3690718257012,Y San Andreas.,0.0599,-0.2869,0.671,0.0158,9.633,0.435,0.0,scanning,45.9515915,8.9249172,0.0,0.0,1,concrete,1.0,0.33,107.8,8.0,26.0,1.0,0.00539,0.00285,0.0,,,,es,1,concrete,1.0,N naming specific feature/location.
51,274.17,279.58,3692635257012,3698053257012,"Ellos no solamente están mirando la montaña que está detrás de nosotros, ellos van a ser iluminados por la ventana.",0.179,-0.2803,0.768,0.2364,10.014,0.8331,0.666,walking,45.9515953,8.9249277,0.0,0.0,1,concrete,1.0,5.41,261.6,53.1,212.3,0.829,0.00181,0.00094,0.0,0.597,0.5779,0.476,es,1,concrete,1.0,Explains interaction of specific features.
52,281.64,281.82,3700111257012,3700293257012,Gracias.,-0.132,-0.0787,1.687,0.0068,9.404,0.218,1.251,walking,45.95158,8.924984,0.0,0.0,3,aside,1.0,0.18,,,,0.0,0.00051,8e-05,0.0,,,,es,3,aside,1.0,Social pleasantry.
53,292.82,299.78,3711288257012,3718248257012,o sea cuando tú te das cuenta de cómo ellos lo pensaban de cómo todas las iglesias,0.0411,-0.2498,0.733,0.2131,10.018,0.6616,1.036,walking,45.9515419,8.9250221,0.0,0.171,2,contextual,0.9,6.96,273.3,60.8,216.8,0.697,0.00189,0.00086,0.005,0.5263,0.5501,0.5175,es,2,contextual,0.9,Discusses historical intent/thought process.
54,300.03,301.45,3718501257012,3719925257012,Son puntos de vista y de relación.,-0.024,-0.2665,0.669,0.2217,9.962,0.5456,0.563,walking,45.9515495,8.9249754,0.0,0.0,2,contextual,1.0,1.42,273.5,46.5,178.2,1.0,0.0017,0.00044,0.0,0.4646,0.472,0.3672,es,2,contextual,1.0,Generalization about spatial relationships.
55,302.3,307.89,3720768257012,3726365257012,"Un poco entre ellas, un poco con el bosque y un poco con la punta de la montaña.",-0.0568,-0.1991,0.884,0.0039,9.963,0.0499,0.449,dwelling,45.9515419,8.9249544,0.0,0.107,2,contextual,1.0,5.59,260.3,62.7,225.6,0.771,0.00167,0.00048,0.0,0.4261,0.45,0.5544,es,2,contextual,1.0,Elaborates contextual relationship of elements.
56,307.92,308.57,3726385257012,3727040257012,Gracias.,-0.0492,-0.195,0.861,0.0009,9.934,0.0601,0.519,walking,45.9515343,8.9249506,0.0,0.0,3,aside,1.0,0.65,,,,0.0,0.00121,0.00013,0.0,0.1989,0.2267,0.3163,es,3,aside,1.0,Social pleasantry.
57,325.33,329.46,3743801257012,3747935257012,Hay que mantener un trozo el afloramiento.,0.0455,-0.3291,0.452,0.3025,9.925,1.0248,0.564,walking,45.9516144,8.9249287,0.143,0.048,1,concrete,1.0,4.13,142.5,66.6,239.6,0.631,0.00402,0.00219,0.0,0.4264,0.4717,0.6253,es,1,concrete,1.0,Instruction about physical feature (outcrop).
58,329.5,329.87,3747975257012,3748337257012,¿Si se calienta?,0.1556,-0.1059,0.822,0.0311,9.836,0.4298,0.432,scanning,45.9516106,8.924921,0.25,0.0,1,concrete,1.0,0.37,153.7,21.6,58.0,1.0,0.01561,0.01108,0.167,,,,es,1,concrete,1.0,Question about physical property.
59,329.89,329.97,3748357257012,3748437257012,No.,0.1068,-0.046,0.676,0.0,10.299,0.5831,0.429,scanning,45.9516106,8.9249191,0.0,0.0,1,concrete,1.0,0.08,,,,,,,,,,,es,1,concrete,1.0,Direct answer about physical property.
60,330.03,330.29,3748501257012,3748762257012,"Ah, vale, no.",0.133,-0.0936,0.584,0.0533,9.716,0.5244,0.429,scanning,45.9516106,8.9249191,0.0,0.0,3,aside,0.9,0.26,154.7,43.1,110.7,1.0,0.0042,0.00076,0.0,,,,es,3,aside,0.9,Filler/quick response
61,330.31,330.55,3748782257012,3749023257012,"No, va bien.",0.1599,-0.0417,0.834,0.0359,10.311,0.8593,0.429,scanning,45.9516106,8.9249191,0.0,0.0,3,aside,0.9,0.24,,,,0.0,0.01511,0.01296,0.375,,,,es,3,aside,0.9,Quick response
62,330.57,331.15,3749043257012,3749625257012,"Mira, está a 37.",0.099,-0.0641,0.555,0.0421,9.899,0.7794,0.22,scanning,45.9516144,8.9249182,0.0,0.0,3,aside,0.9,0.58,146.7,10.6,29.5,0.842,0.02226,0.01042,0.053,0.5603,0.513,0.4713,es,3,aside,0.9,Off-topic observation
63,336.81,338.54,3755285257012,3757008257012,A mí eso me pasa con el móvil.,-0.2126,-0.3168,0.339,0.259,9.853,0.3917,0.223,scanning,45.9516258,8.9249182,0.0,0.588,3,aside,0.9,1.73,130.0,11.3,40.3,0.673,0.00395,0.00289,0.055,0.3079,0.3416,0.5174,es,3,aside,0.9,Personal off-topic comment
64,343.45,346.89,3761917257012,3765363257012,"Me tengo que cambiar de móvil, por cierto",0.1289,-0.1916,0.668,0.3274,10.034,1.4249,0.449,scanning,45.9516335,8.9249268,0.0,0.114,3,aside,0.9,3.44,114.0,24.7,92.3,0.898,0.0032,0.00261,0.019,0.3928,0.4157,0.4193,es,3,aside,0.9,Personal off-topic comment
65,349.08,353.48,3767553257012,3771954257012,"Es que no quiero hablar, es decir, podría estar hablando horas con ella, pero no quiero.",-0.1997,-0.1892,1.02,0.1872,10.097,1.038,0.44,scanning,45.9516449,8.9249668,0.0,0.364,3,aside,0.9,4.4,117.4,14.9,72.5,0.971,0.00891,0.00529,0.065,0.3573,0.3905,0.5454,es,3,aside,0.9,Personal/self-referential comment
66,355.65,359.87,3774117257012,3778337257012,hay una aldeita que se llama cuaso al piano,-0.0665,-0.4544,0.402,0.1543,9.923,0.5202,0.67,walking,45.951683,8.9249544,0.0,0.326,1,concrete,0.9,4.22,286.0,34.1,121.2,0.318,0.00167,0.00087,0.038,0.5354,0.5368,0.6609,es,1,concrete,0.9,Names a specific place
67,360.03,362.89,3778501257012,3781364257012,Cuaso al piano y cuaso al monte son las dos aldeas donde Manfredo se tala,-0.1327,-0.4184,0.328,0.0128,9.83,0.2088,0.431,dwelling,45.9516754,8.9249535,0.0,1.0,1,concrete,0.9,2.86,264.7,55.9,208.5,0.733,0.0034,0.00168,0.0,0.4235,0.4738,0.5219,es,1,concrete,0.9,Names and locates places
68,367.76,368.64,3786230257012,3787113257012,Ha ido a estudiar como sacerdote.,-0.4195,-0.2664,0.292,0.0135,9.864,0.0268,0.426,dwelling,45.9516525,8.9249487,0.0,0.25,2,contextual,0.9,0.88,239.6,26.3,105.1,0.786,0.00393,0.00219,0.036,0.4084,0.3855,0.426,es,2,contextual,0.9,Historical context about a person
69,368.7,369.26,3787173257012,3787735257012,Él es un milanés.,-0.4119,-0.2875,0.298,0.002,9.859,0.0186,0.426,dwelling,45.9516525,8.9249487,0.0,0.333,2,contextual,0.9,0.56,65.0,0.0,0.0,0.444,0.00091,0.0001,0.0,0.3904,0.3353,0.3611,es,2,contextual,0.9,Background about a person
70,373.62,376.45,3792088257012,3794917257012,en la segunda mitad de 1100.,-0.411,-0.2322,0.374,0.0106,9.88,0.1767,0.0,dwelling,45.9516487,8.9249468,0.0,1.0,2,contextual,0.9,2.83,204.7,20.6,77.8,0.64,0.00215,0.00104,0.0,0.3374,0.364,0.4517,es,2,contextual,0.9,Specifies historical time period
71,377.95,379.86,3796422257012,3798329257012,que es bien erudito porque su familia tiene una biblioteca y él...,-0.3585,-0.1996,0.363,0.0124,9.918,0.0805,0.426,dwelling,45.9516411,8.9249477,0.0,0.6,2,contextual,0.9,1.91,229.9,41.5,213.0,0.733,0.00169,0.00055,0.0,0.4905,0.4707,0.407,es,2,contextual,0.9,Background/character context
72,385.28,389.97,3803752257012,3808437257012,Va ahí a ser sacerdote y mientras que está ahí...,-0.3538,-0.2162,0.57,0.0954,9.93,0.3156,0.433,scanning,45.9516449,8.924964,0.0,0.277,2,contextual,0.9,4.69,252.9,40.7,246.9,0.789,0.00186,0.00092,0.02,0.3897,0.4165,0.4376,es,2,contextual,0.9,Continues historical narrative
73,390.03,394.09,3808501257012,3812560257012,Y entra en contacto con ciertos manuscritos de una famosa santa curandera.,-0.2206,-0.2818,0.425,0.144,9.916,0.1772,0.148,dwelling,45.9516411,8.9249554,0.0,0.0,2,contextual,0.9,4.06,233.1,33.2,120.0,0.748,0.00182,0.00061,0.0,0.5018,0.5176,0.522,es,2,contextual,0.9,Develops historical narrative
74,396.34,404.29,3814812257012,3822760257012,y él aprende todas esas plantas y de pronto estando ahí ve la montaña y dice pero quiero ser hermita en la montaña,-0.1569,-0.2919,0.392,0.2118,9.919,0.4982,0.0,scanning,45.9516449,8.9249535,0.025,0.425,2,contextual,0.9,7.95,234.3,46.1,240.7,0.775,0.0031,0.00277,0.341,0.4951,0.5072,0.6139,es,2,contextual,0.9,Historical narrative explaining motivation
